invoice_id,vendor_name,department,invoice_date,due_date,amount_usd,currency,approval_status,payment_status,assigned_approver,days_overdue,invoice_category,priority_level
INV-10001,Globex Consulting,Finance,2026-03-19,2026-04-18,7052.47,USD,Pending,Unpaid,Jordan Carter,65,Consulting,Medium
INV-10002,Stark Industrial Parts,Operations,2026-04-18,2026-06-17,89767.53,USD,Approved,Paid,Alex Murphy,0,Travel,Medium
INV-10003,Vandelay Imports,Procurement,2026-06-02,2026-07-02,16658.98,USD,Approved,Unpaid,Jordan Park,0,Hardware,Medium
INV-10004,Oscorp Materials,Finance,2026-02-23,2026-04-09,108635.66,USD,Under Review,Unpaid,Taylor Bennett,74,Logistics,Low
INV-10005,Hooli Analytics,Finance,2026-03-04,2026-04-03,18781.15,USD,Under Review,Unpaid,Hayden Nguyen,80,Consulting,Medium
INV-10006,Prestige Worldwide Travel,HR,2026-05-31,2026-07-30,8215.87,USD,Rejected,On Hold,Parker Patel,0,Utilities,Medium
INV-10007,Northwind Logistics,Operations,2026-03-08,2026-03-23,19806.78,USD,Under Review,Unpaid,Jamie Haddad,91,Hardware,High
INV-10008,Cyberdyne Security,HR,2026-04-24,2026-05-24,12273.09,USD,Approved,Paid,Reese Ferreira,0,Logistics,High
INV-10009,Initech Software,Customer Support,2026-04-19,2026-05-04,42228.77,USD,Approved,Unpaid,Reese Kowalski,49,Professional Services,Medium
INV-10010,Gekko Financial Tools,Customer Support,2026-05-20,2026-07-19,190590.25,USD,Pending,Unpaid,Blair Larsson,0,Consulting,High
INV-10011,Hooli Analytics,IT,2026-06-01,2026-07-16,194418.41,USD,Rejected,On Hold,Devin Foster,0,Marketing,High
INV-10012,Massive Dynamic Labs,Customer Support,2026-05-27,2026-06-26,8125.52,GBP,Rejected,On Hold,Emerson Larsson,0,Hardware,Critical
INV-10013,Acme Office Supplies,Finance,2026-02-23,2026-03-25,40793.69,USD,Approved,Partially Paid,Taylor Park,89,Hardware,Critical
INV-10014,BlueSky Cloud Services,Customer Support,2026-03-15,2026-04-14,145056.48,USD,Approved,Partially Paid,Jamie Dubois,69,Logistics,Medium
INV-10015,Hooli Analytics,IT,2026-03-28,2026-04-27,25481.82,USD,Approved,Paid,Avery Volkov,0,Logistics,Medium
INV-10016,Acme Office Supplies,Finance,2026-03-23,2026-04-07,44389.23,EUR,Approved,Paid,Jamie Dubois,0,Office Supplies,Medium
INV-10017,Nakatomi Property Mgmt,Customer Support,2026-04-22,2026-05-22,39615.48,USD,Approved,Paid,Logan Park,0,Software,Medium
INV-10018,Globex Consulting,Finance,2026-05-01,2026-05-31,5576.87,USD,Approved,Paid,Logan Patel,0,Consulting,Low
INV-10019,Gekko Financial Tools,Customer Support,2026-06-09,2026-06-24,26603.66,USD,Approved,Unpaid,Harper Rossi,0,Hardware,Low
INV-10020,Stark Industrial Parts,IT,2026-02-26,2026-03-13,355.07,USD,Rejected,On Hold,Drew Ibrahim,101,Facilities,High
INV-10021,Tyrell Hardware,Operations,2026-05-28,2026-06-27,3101.06,USD,Approved,Paid,Sasha Andersen,0,Facilities,Low
INV-10022,Umbrella Facilities,Finance,2026-04-17,2026-05-02,3590.41,USD,Under Review,Unpaid,Rowan Patel,51,Professional Services,Critical
INV-10023,Prestige Worldwide Travel,Finance,2026-04-03,2026-04-18,28704.02,USD,Rejected,On Hold,Marlowe Larsson,65,Logistics,Low
INV-10024,Soylent Catering,IT,2026-06-05,2026-07-05,45539.64,GBP,Approved,Unpaid,Morgan Hughes,0,Facilities,Medium
INV-10025,Stark Industrial Parts,Customer Support,2026-05-19,2026-06-18,43192.13,EUR,Approved,Paid,Marlowe Okafor,0,Professional Services,High
INV-10026,Massive Dynamic Labs,Finance,2026-03-28,2026-05-27,32590.2,GBP,Approved,Paid,Parker Reyes,0,Marketing,Low
INV-10027,Hooli Analytics,Customer Support,2026-05-26,2026-06-25,31169.1,USD,Approved,Partially Paid,Taylor Haddad,0,Travel,High
INV-10028,Soylent Catering,Finance,2026-06-21,2026-07-21,31309.28,USD,Pending,Unpaid,Alex Foster,0,Consulting,Medium
INV-10029,Initech Software,Customer Support,2026-06-17,2026-07-17,7469.57,USD,Approved,Partially Paid,Jordan Ferreira,0,Logistics,High
INV-10030,Wayne Marketing Group,HR,2026-06-08,2026-07-08,43351.57,USD,Pending,Unpaid,Riley Murphy,0,Travel,Critical
INV-10031,Acme Office Supplies,Operations,2026-03-19,2026-04-18,20321.02,USD,Pending,Unpaid,Marlowe Foster,65,Travel,Low
INV-10032,Northwind Logistics,IT,2026-05-24,2026-06-23,22689.78,USD,Pending,Unpaid,Jamie Kowalski,0,Utilities,Low
INV-10033,Soylent Catering,Finance,2026-03-15,2026-04-14,25083.53,USD,Under Review,Unpaid,Quinn Murphy,69,Professional Services,Low
INV-10034,Soylent Catering,Finance,2026-06-08,2026-08-07,134004.82,USD,Pending,Unpaid,Rowan Sullivan,0,Marketing,High
INV-10035,Northwind Logistics,HR,2026-04-27,2026-05-12,39567.4,USD,Rejected,On Hold,Jamie Ferreira,41,Travel,High
INV-10036,BlueSky Cloud Services,HR,2026-02-24,2026-03-26,32590.14,USD,Under Review,Unpaid,Sam Kowalski,88,Marketing,Medium
INV-10037,Oscorp Materials,Operations,2026-05-28,2026-07-12,18733.33,USD,Approved,Paid,Alex Okafor,0,Marketing,Medium
INV-10038,Stark Industrial Parts,IT,2026-03-13,2026-05-12,15959.65,USD,Pending,Unpaid,Noor Murphy,41,Consulting,High
INV-10039,Hooli Analytics,Customer Support,2026-03-29,2026-05-28,40148.14,USD,Pending,Unpaid,Alex Bennett,25,Logistics,Low
INV-10040,Tyrell Hardware,Customer Support,2026-03-05,2026-03-20,43449.17,USD,Pending,Unpaid,Casey Haddad,94,Software,Medium
INV-10041,Globex Consulting,IT,2026-05-24,2026-06-23,34175.7,USD,Pending,Partially Paid,Casey Tanaka,0,Facilities,Low
INV-10042,Oscorp Materials,Customer Support,2026-05-12,2026-06-26,35314.61,USD,Under Review,Unpaid,Noor Rossi,0,Hardware,High
INV-10043,Soylent Catering,Operations,2026-03-06,2026-04-05,25663.37,USD,Approved,Paid,Quinn Larsson,0,Utilities,Low
INV-10044,Oscorp Materials,Finance,2026-06-04,2026-07-04,34080.05,USD,Approved,Paid,Harper Bennett,0,Logistics,Medium
INV-10045,Wonka Maintenance,IT,2026-02-26,2026-04-27,1202.18,EUR,Pending,Unpaid,Drew Kowalski,56,Travel,Critical
INV-10046,Oscorp Materials,HR,2026-03-19,2026-05-18,44018.3,USD,Approved,Paid,Hayden Schmidt,0,Travel,Medium
INV-10047,Umbrella Facilities,IT,2026-02-24,2026-03-26,26288.53,EUR,Pending,Unpaid,Harper Reyes,88,Hardware,Low
INV-10048,Umbrella Facilities,Finance,2026-05-19,2026-07-03,22416.59,USD,Under Review,Unpaid,Harper Nguyen,0,Consulting,Critical
